Tanggal;SEMUA PROVINSI;JAWA TIMUR;Kota Blitar;Kota Kediri;Kota Madiun;Kota Malang;Kota Probolinggo;Kota Surabaya;Kab. Banyuwangi;Kab. Jember;Kab. Sumenep
08/06/2020;11900;10650;10500;10550;11200;11000;10100;11600;10200;11300;9350
09/06/2020;11850;10650;10500;10550;11200;11000;10100;11600;10200;11300;9350
10/06/2020;11850;10650;10500;10550;11200;11000;10100;11600;10200;11300;9350
11/06/2020;11850;10650;10500;10550;11200;11000;10100;11600;10150;11300;9350
12/06/2020;11850;10650;10500;10550;11200;11000;10100;11600;10150;11300;9350
15/06/2020;11850;10650;10500;10550;11200;11000;10150;11600;10150;11300;9350
16/06/2020;11850;10650;10500;10550;11200;11000;10150;11600;10150;11250;9350
17/06/2020;11850;10650;10450;10550;11200;11000;10150;11600;10150;11200;9350
18/06/2020;11850;10650;10450;10550;11200;11000;10150;11600;10150;11200;9350
19/06/2020;11850;10650;10450;10550;11200;11000;10150;11600;10150;11200;9350
22/06/2020;11850;10650;10450;10550;11200;11000;10150;11600;10150;11200;9350
23/06/2020;11850;10650;10450;10550;11200;11000;10150;11600;10150;11200;9350
24/06/2020;11850;10600;10350;10550;11200;11000;10150;11600;10050;11200;9350
25/06/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9350
26/06/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9350
29/06/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9350
30/06/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9300
01/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9300
02/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9300
03/07/2020;11850;10600;10450;10550;11200;11000;10150;11550;10050;11200;9300
06/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9200
07/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9200
08/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9200
09/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;9850;11200;9200
10/07/2020;11850;10600;10450;10550;11200;11000;10150;11600;10050;11200;9200
13/07/2020;11850;10600;10450;10550;11100;11000;10150;11600;10050;11200;9250
14/07/2020;12000;10600;10450;10550;11100;11000;10150;11600;10050;11200;9250
15/07/2020;11850;10600;10450;10550;11100;11000;10150;11600;10050;11200;9300
16/07/2020;11850;10600;10450;10550;11100;11000;10150;11600;10050;11150;9300
17/07/2020;11850;10600;10450;10550;11100;11000;10150;11600;10050;11150;9300
20/07/2020;11850;10600;10450;10550;11100;11000;10100;11600;10050;11100;9350
21/07/2020;11850;10600;10450;10500;11100;11000;10100;11600;10050;11100;9300
22/07/2020;11850;10600;10450;10500;11100;11000;10050;11600;10050;11100;9350
23/07/2020;11850;10600;10450;10500;11100;11000;10050;11600;10050;11100;9350
24/07/2020;11850;10550;10450;10500;11100;11000;10050;11600;10050;11100;9300
27/07/2020;11850;10550;10450;10500;11150;11000;10050;11500;9950;11100;9300
28/07/2020;11850;10550;10450;10500;11150;11000;10050;11600;9950;11100;9300
29/07/2020;11850;10600;10450;10500;11150;11000;10050;12000;9900;11100;9300
30/07/2020;11850;10550;10400;10500;11150;11000;10050;11600;9900;11100;9300
03/08/2020;11850;10550;10300;10500;11150;11000;10050;11600;9900;11100;9300
04/08/2020;11850;10550;10300;10500;11150;11000;10050;11600;9900;11100;9300
05/08/2020;11850;10550;10300;10500;11150;11000;10050;11600;9900;11100;9200
06/08/2020;11850;10550;10300;10500;11200;11000;10050;11600;9800;11100;9200
